79,2,g_<cluster_prefix>_d_sds_t_app_rw,r_<cluster_prefix>_sds_t_app_rw,31,50
80,2,g_<cluster_prefix>_a_sds_user_role_aud,,32,null
81,2,g_<cluster_prefix>_a_sds_user_role_ds,,32,null
82,1,g_<cluster_prefix>_d_graph_<имя>_ro,r_<cluster_prefix>_graph_<имя>_ro,33,51
83,2,g_<cluster_prefix>_d_graph_rw,r_<cluster_prefix>_graph_rw,33,51
86,1,g_<cluster_prefix>_d_qg_<КТС>_<область данных>_<схема>_ro,r_<cluster_prefix>_qg_<КТС>_<область данных>_<схема>_ro,35,53
87,2,g_<cluster_prefix>_d_qg_<КТС>_<область данных>_<схема>_rw,r_<cluster_prefix>_qg_<КТС>_<область данных>_<схема>_rw,35,53
88,1,g_<cluster_prefix>_d_opt_internal_<имя реплики>_<схема>_ro,r_<cluster_prefix>_opt_internal_<имя реплики>_<схема>_ro,36,54
89,1,g_<cluster_prefix>_d_3ls_ro,r_<cluster_prefix>_3ls_ro,36,54
90,2,g_<cluster_prefix>_d_opt_internal_rw,r_<cluster_prefix>_opt_internal_rw,36,55
91,2,g_<cluster_prefix>_d_opt_internal_rw,r_<cluster_prefix>_opt_internal_rw,36,56
92,1,g_<cluster_prefix>_d_3ls_ro,r_<cluster_prefix>_3ls_ro,36,56
93,2,g_<cluster_prefix>_d_opt_internal_rw,r_<cluster_prefix>_opt_internal_rw,36,57
94,1,g_<cluster_prefix>_d_3ls_ro,r_<cluster_prefix>_3ls_ro,36,57
95,1,g_<cluster_prefix>_a_grnplm_common,,37,null
96,2,g_<cluster_prefix>_d_selfservice_an_<реплика>_rw,r_<cluster_prefix>_selfservice_an_<реплика>_rw,38,58
99,1,g_<cluster_prefix>_d_xstream4ls_ro,r_<cluster_prefix>_xstream4ls_ro,38,61
100,2,g_<cluster_prefix>_d_selfservice_an_rw,r_<cluster_prefix>_selfservice_an_rw,38,62
101,2,g_<cluster_prefix>_d_selfservice_devops_rw,r_<cluster_prefix>_selfservice_devops_rw,38,63
102,1,g_<cluster_prefix>_d_selfservice_<реплика>_ro,r_<cluster_prefix>_selfservice_<реплика>_ro,38,64
103,2,g_<cluster_prefix>_d_anselfservice_<реплика>_rw,r_<cluster_prefix>_anselfservice_<реплика>_rw,39,65
104,1,g_<cluster_prefix>_d_anselfservice_<реплика>_ro,r_<cluster_prefix>_anselfservice_<реплика>_ro,39,65
105,1,g_<cluster_prefix>_d_anselfservice3ls_<реплика>_ro,r_<cluster_prefix>_anselfservice3ls_<реплика>_ro,39,65
106,1,g_<cluster_prefix>_d_xstream4ls_ro,r_<cluster_prefix>_xstream4ls_ro,39,65
107,2,g_<cluster_prefix>_a_sdsa_admin,,40,null
108,2,g_<cluster_prefix>_a_sdsa_views_metadata_admin,,40,null
109,2,g_<cluster_prefix>_a_sdsa_views_metadata_analyst,,40,null
110,2,g_<cluster_prefix>_a_sdsa_replicas_metadata_admin,,40,null
111,2,g_<cluster_prefix>_a_sdsa_replicas_metadata_analyst,,40,null
112,2,g_<cluster_prefix>_a_sdsa_ds,,40,null
113,2,g_<cluster_prefix>_a_sdsa_pkd_discrepancies_admin,,40,null
114,2,g_<cluster_prefix>_a_sdsa_incident_manager,,40,null
115,2,g_<cluster_prefix>_a_sdsa_views_tla_manager,,40,null
116,2,g_<cluster_prefix>_a_sdsa_replicas_tla_manager,,40,null
117,2,g_<cluster_prefix>_a_sdsa_tla_supervisor,,40,null
118,2,g_<cluster_prefix>_a_sdsa_reports_analyst,,40,null
119,2,g_<cluster_prefix>_a_sdsa_cm_analyst,,40,null
120,2,g_<cluster_prefix>_a_sdsa_cm_admin,,40,null
121,2,g_<cluster_prefix>_a_sdsa_cm_api_user,,40,null
122,1,g_<cluster_prefix>_a_bme_appusr,,17,null
123,1,g_<cluster_prefix>_a_bme_r_exec,,17,null
124,1,g_<cluster_prefix>_a_bme_r_adm,,17,null
125,1,g_<cluster_prefix>_a_bme_r_info,,17,null
126,1,g_<cluster_prefix>_a_bme_r_upload,,17,null
127,1,g_<cluster_prefix>_a_bme_r_download,,17,null
128,1,g_<cluster_prefix>_a_bme_r_publisher,,17,null
129,1,g_<cluster_prefix>_a_bme_r_subscriber,,17,null
130,1,g_<cluster_prefix>_a_bme_r_monadmin,,17,null
131,2,g_<cluster_prefix>_a_sdsa_analytics_manager,,40,null
132,2,g_<cluster_prefix>_a_sdsa_incident_analyst,,40,null
133,2,g_<cluster_prefix>_a_sdsa_zno_analyst,,40,null
134,2,g_<cluster_prefix>_a_sdsa_zno_manager,,40,null
135,2,g_msgsrv_a_msservice_consumer,,41,null
136,1,g_msgsrv_a_msservice_producer,,41,null
137,1,g_<cluster_prefix>_d_spm_<реплика>_ro,r_<cluster_prefix>_spm_<реплика>_ro,42,66
138,2,g_<cluster_prefix>_d_spm_<реплика>_rw,r_<cluster_prefix>_spm_<реплика>_rw,42,67
139,1,g_<cluster_prefix>_d_spm_3ls_ro,r_<cluster_prefix>_spm_3ls_ro,42,68
140,2,g_<cluster_prefix>_d_spm_rw,r_<cluster_prefix>_spm_rw,42,69
141,2,g_<cluster_prefix>_d_spm_rw,r_<cluster_prefix>_spm_rw,42,70
142,1,g_<cluster_prefix>_a_amis_avdata,,43,null
143,1,g_<cluster_prefix>_d_spm_3ls_ro,r_<cluster_prefix>_spm_3ls_ro,42,70
144,1,g_<cluster_prefix>_d_selfservice3ls_<реплика>_ro,r_<cluster_prefix>_selfservice3ls_<реплика>_ro,38,71
145,2,g_<cluster_prefix>_d_selfservice_rw,r_<cluster_prefix>_selfservice_rw,38,72
146,1,g_<cluster_prefix>_d_usl_tech_<краткий код data-продукта>_ro,r_<cluster_prefix>_usl_tech_<краткий код data-продукта>_ro,34,73
147,1,g_<cluster_prefix>_d_usl_pers_<краткий код data-продукта>_ro,r_<cluster_prefix>_usl_pers_<краткий код data-продукта>_ro,34,74
148,1,g_<cluster_prefix>_d_usl_ldm_ro,r_<cluster_prefix>_usl_ldm_ro,34,75
149,2,g_<cluster_prefix>_d_usl_<краткий код data-продукта>_rw,r_<cluster_prefix>_usl_<краткий код data-продукта>_rw,34,76
150,2,g_<cluster_prefix>_d_usl_ldm_rw,r_<cluster_prefix>_usl_ldm_rw,34,77
151,1,g_<cluster_prefix>_d_3ls_usl_ro,r_<cluster_prefix>_3ls_usl_ro,34,78
152,1,g_<cluster_prefix>_d_3ls_usl_ro,r_<cluster_prefix>_3ls_usl_ro,34,79
153,1,g_<cluster_prefix>_d_pkd_ro,r_<cluster_prefix>_pkd_ro,34,80
154,1,g_<cluster_prefix>_d_selfservice_pkd_ro,r_<cluster_prefix>_selfservice_pkd_ro,38,81
155,2,g_<cluster_prefix>_a_sdsa_sdpm_head,,40,null
